code_barre;nom;description_f;mark;type_article;price;quantite_current;unite;vat;id_family;id_supplier
871100;Coude a coller 90° dim 75 F/F;;Nicoll;PVC;;;;21,00;23;2
366960;Coude a coller 90° dim 80 F/F;;Nicoll;PVC;;;;21,00;23;2
871090;Coude a coller 90° dim 90 F/F;;Nicoll;PVC;;;;21,00;23;2
871080;Coude a coller 90° dim 100 F/F;;Nicoll;PVC;;;;21,00;23;2
871070;Coude a coller 90° dim 110 F/F;;Nicoll;PVC;;;;21,00;23;2
169295;Coude a coller 90° dim 125 F/F;;Nicoll;PVC;;;;21,00;23;2
870970;Coude a coller 45° dim 32 F/F;;Nicoll;PVC;;6,00;pces;21,00;23;2
397820;Coude a coller 45° dim 40 F/F;;Nicoll;PVC;;;;21,00;23;2
366910;Coude a coller 45° dim 50 F/F;;Nicoll;PVC;;;;21,00;23;2
870960;Coude a coller 45° dim 63 F/F;;Nicoll;PVC;;;;21,00;23;2
870950;Coude a coller 45° dim 75 F/F;;Nicoll;PVC;;;;21,00;23;2
870940;Coude a coller 45° dim 80 F/F;;Nicoll;PVC;;;;21,00;23;2
870930;Coude a coller 45° dim 90 F/F;;Nicoll;PVC;;;;21,00;23;2
366940;Coude a coller 45° dim 100 F/F;;Nicoll;PVC;;;;21,00;23;2
870920;Coude a coller 45° dim 110 F/F;;Nicoll;PVC;;;;21,00;23;2
169299;Coude a coller 45° dim 125  F/F;;Nicoll;PVC;;;;21,00;23;2
870810;Té pied de biche a coller dim 32 M/F;;Nicoll;PVC;;;;21,00;23;2
870790;Té pied de biche a coller dim 40 M/F;;Nicoll;PVC;;;;21,00;23;2
870780;Té pied de biche a coller dim 40° M/F;;Nicoll;PVC;;;;21,00;23;2
280960;Té pied de biche a coller dim 50 M/F;;Nicoll;PVC;;;;21,00;23;2
870770;Té pied de biche a coller dim 32 F/F;;Nicoll;PVC;;;;21,00;23;2
870760;Té pied de biche a coller dim 40 F/F;;Nicoll;PVC;;;;21,00;23;2
366930;Té pied de biche a coller dim 50 F/F;;Nicoll;PVC;;;;21,00;23;2
870300;Té simple dim 32 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870290;Té simple dim 40 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870280;Té simple dim 50 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870270;Té simple dim 63 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870260;Té simple dim 75 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
796880;Té simple dim 80 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870200;Té simple dim 90 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870160;Té simple dim 100 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870150;Té simple dim 110 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
169300;Té simple dim 125 M/F;a coller;Nicoll;PVC;;;;21,00;23;2
870140;Té simple dim 32 F/F;a coller;Nicoll;PVC;;1,00;pces;21,00;23;2
750190;Té simple dim 40 F/F;a coller;Nicoll;PVC;;12,00;pces;21,00;23;2
870120;Té simple dim 50 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
870100;Té simple dim 75 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
796870;Té simple dim 80 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
870080;Té simple dim 90 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
870070;Té simple dim 100 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
870060;Té simple dim 110 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
169302;Té simple dim 125 F/F;a coller;Nicoll;PVC;;;;21,00;23;2
870560;Té Y simple dim 32 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870550;Té Y simple dim 40 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870540;Té Y simple dim 50 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870530;Té Y simple dim 63 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870520;Té Y simple dim 75 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870500;Té Y simple dim 80 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870460;Té Y simple dim 90 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870420;Té Y simple dim 100 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870400;Té Y simple dim 110 M/F a coller;;Nicoll;PVC;;;;21,00;23;2
169301;Té Y simple dim 125  M/F a coller;;Nicoll;PVC;;;;21,00;23;2
870390;Té Y simple dim 32 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
870380;Té Y simple dim 40 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
870370;Té Y simple dim 50 F/F a coller;;Nicoll;PVC;;;;21,00;23;2
511580;Té Y simple dim 75 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
511530;Té Y simple dim 80 F/F a coller;;Nicoll;PVC;;;;21,00;23;2
511520;Té Y simple dim 90 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
139390;Té Y simple dim 100 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
511490;Té Y simple dim 110 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
169303;Té Y simple dim 125 F/F a coller ;;Nicoll;PVC;;;;21,00;23;2
512810;Tampon de réduction éxentrique M/F dim 63/40 a coller;;Nicoll;PVC;;;;21,00;23;2
512820;Tampon de réduction éxentrique M/F dim 63/50 a coller;;Nicoll;PVC;;2,00;pces;21,00;23;2
248520;Tampon de réduction éxentrique M/F dim 75/32 a coller;;Nicoll;PVC;;;;21,00;23;2
248530;Tampon de réduction éxentrique M/F dim 75/40 a coller;;Nicoll;PVC;;13,00;pces;21,00;23;2
248540;Tampon de réduction éxentrique M/F dim 75/50 a coller;;Nicoll;PVC;;12,00;pces;21,00;23;2
365220;Tampon de réduction éxentrique M/F dim 80/40 a coller;;Nicoll;PVC;;;;21,00;23;2
248550;Tampon de réduction éxentrique M/F dim 80/50 a coller;;Nicoll;PVC;;;;21,00;23;2
869890;Tampon de réduction éxentrique M/F dim 80/63 a coller;;Nicoll;PVC;;;;21,00;23;2
869880;Tampon de réduction éxentrique M/F dim 90/32 a coller;;Nicoll;PVC;;;;21,00;23;2
248560;Tampon de réduction éxentrique M/F dim 90/40 a coller;;Nicoll;PVC;;4,00;pces;21,00;23;2
248570;Tampon de réduction éxentrique M/F dim 90/50 a coller;;Nicoll;PVC;;10,00;pces;21,00;23;2
869870;Tampon de réduction éxentrique M/F dim 90/63 a coller;;Nicoll;PVC;;;;21,00;23;2
284100;Tampon de réduction éxentrique M/F dim 90/75 a coller;;Nicoll;PVC;;20,00;pces;21,00;23;2
128490;Tampon de réduction éxentrique M/F dim 90/80 a coller;;Nicoll;PVC;;;;21,00;23;2
365190;Tampon de réduction éxentrique M/F dim 100/32 a coller;;Nicoll;PVC;;;;21,00;23;2
365200;Tampon de réduction éxentrique M/F dim 100/40 a coller;;Nicoll;PVC;;;;21,00;23;2
248580;Tampon de réduction éxentrique M/F dim 100/50 a coller;;Nicoll;PVC;;;;21,00;23;2
248590;Tampon de réduction éxentrique M/F dim 100/80 a coller;;Nicoll;PVC;;;;21,00;23;2
284110;Tampon de réduction éxentrique M/F dim 100/90 a coller;;Nicoll;PVC;;;;21,00;23;2
869840;Tampon de réduction éxentrique M/F dim 110/32 a coller;;Nicoll;PVC;;;;21,00;23;2
128270;Tampon de réduction éxentrique M/F dim 110/40 a coller;;Nicoll;PVC;;;;21,00;23;2
128430;Tampon de réduction éxentrique M/F dim 110/50 a coller;;Nicoll;PVC;;1,00;pces;21,00;23;2
140990;Tampon de réduction éxentrique M/F dim 110/75 a coller;;Nicoll;PVC;;;;21,00;23;2
869820;Tampon de réduction éxentrique M/F dim 110/80 a coller;;Nicoll;PVC;;;;21,00;23;2
192710;Tampon de réduction éxentrique M/F dim 110/90 a coller;;Nicoll;PVC;;;;21,00;23;2
191620;Tampon de réduction éxentrique M/F dim 110/100 a coller;;Nicoll;PVC;;;;21,00;23;2
125165;Tampon de réduction éxentrique M/F dim 125/40 a coller;;Nicoll;PVC;;;;21,00;23;2
869800;Tampon de réduction éxentrique M/F dim 125/80 a coller;;Nicoll;PVC;;;;21,00;23;2
803270;Tampon de réduction éxentrique M/F dim 125/90 a coller;;Nicoll;PVC;;2,00;pces;21,00;23;2
869780;Tampon de réduction éxentrique M/F dim 125/100 a coller;;Nicoll;PVC;;;;21,00;23;2
191650;Tampon de réduction éxentrique M/F dim 125/110 a coller;;Nicoll;PVC;;;;21,00;23;2
248620;Tampon de visite dim 32 a coller;;Nicoll;PVC;;12,00;pces;21,00;23;2
248630;Tampon de visite dim40 a coller;;Nicoll;PVC;;;;21,00;23;2
248640;Tampon de visite dim 50 a coller;;Nicoll;PVC;;12,00;pces;21,00;23;2
869680;Tampon de visite dim 63 a coller;;Nicoll;PVC;;;;21,00;23;2
869660;Tampon de visite dim 80 a coller;;Nicoll;PVC;;;;21,00;23;2
869670;Tampon de visite dim 75 a coller;;Nicoll;PVC;;;;21,00;23;2
869650;Tampon de visitre dim 90 a coller;;Nicoll;PVC;;11,00;pces;21,00;23;2
869640;Tampon de visite dim 100 a coller;;Nicoll;PVC;;;;21,00;23;2
869630;Tampon de visite dim 110 a coller;;Nicoll;PVC;;;;21,00;23;2
204361;Tampon de visite dim 125 a coller;;Nicoll;PVC;;;;21,00;23;2
212915;Tube a bout lisse gris long, 4 m dim 32;;Nicoll;PVC;;;;21,00;23;2
212916;Tube a bout lisse gris long, 4 m dim 40;;Nicoll;PVC;;;;21,00;23;2
212917;Tube a bout lisse gris long, 4 m dim 50;;Nicoll;PVC;;;;21,00;23;2
215036;Tube a bout lisse gris long, 4 m dim 63 *;;Nicoll;PVC;;;;21,00;23;2
212918;Tube a bout lisse gris long, 4 m dim 75;;Nicoll;PVC;;;;21,00;23;2
212941;Tube a bout lisse gris  long 4 m dim 80*;;Nicoll;PVC;;;;21,00;23;2
212919;Tube a bout lisse gris long, 4 m dim 90;;Nicoll;PVC;;;;21,00;23;2
212940;Tube a bout lisse gris long, 4 m dim 100*;;Nicoll;PVC;;;;21,00;23;2
212942;Tube a bout lisse gris long, 4 m dim 110;;Nicoll;PVC;;;;21,00;23;2
169304;Tube a bout lisse gris long, 4 m dim 125                     * avec manchon;;Nicoll;PVC;;;;21,00;23;2
212944;Tube a bouts lisses  blanc long,4m dim 32 HT**     ** HT : Haute Température ;;Eupen;PVC;;;;21,00;23;2
212945;Tube a bouts lisses  blanc long,4m dim 40 HT;;Eupen;PVC;;;;21,00;23;2
212946;Tube a bouts lisses blanc long 4m dim 50 HT;;Eupen;PVC;;;;21,00;23;2
212947;Tube a bouts lisses blanc long 4m dim 75 HT;;Eupen;PVC;;;;21,00;23;2
264910;Coude 90° a emboiter HT dim 32;;Eupen;PVC;;12,00;pces;21,00;23;2
264920;Coude 90° a emboiter HT dim 40;;Eupen;PVC;;;;21,00;23;2
264930;Coude 90° a emboiter HT dim 50;;Eupen;PVC;;9,00;pces;21,00;23;2
264940;Coude 90° a emboiter HT dim 75;;Eupen;PVC;;;;21,00;23;2
265010;Coude 45° a emboiter HT dim 32;;Eupen;PVC;;10,00;pces;21,00;23;2
265020;Coude 45° a emboiter HT dim 40;;Eupen;PVC;;6,00;pces;21,00;23;2
265030;Coude 45° a emboiter HT dim 50;;Eupen;PVC;;10,00;pces;21,00;23;2
265040;Coude 45° a emboiter HT dim 75;;Eupen;PVC;;;;21,00;23;2
265160;Té Y a emboiter HT dim 32;;Eupen;PVC;;;;21,00;23;2
265170;Té Y a emboiter HT dim 40;;Eupen;PVC;;3,00;pces;21,00;23;2
265180;Té Y a emboiter HT dim 50;;Eupen;PVC;;2,00;pces;21,00;23;2
265060;Té  a emboiter HT dim 32;;Eupen;PVC;;;;21,00;23;2
265070;Té a emboiter HT dim 40;;Eupen;PVC;;1,00;pces;21,00;23;2
265080;Té a emboiter HT dim 50;;Eupen;PVC;;;;21,00;23;2
265090;Té a emboiter HT dim 75;;Eupen;PVC;;;;21,00;23;2
265320;Té réduit a emboiter H T dim 40/32;;Eupen;PVC;;4,00;pces;21,00;23;2
266130;Coude 90° a emboiter dim 32;;Eupen;PVC;;;;21,00;23;2
266140;Coude 90° a emboiter dim 40;;Eupen;PVC;;;;21,00;23;2
266150;Coude 90° a emboiter dim 40;;Eupen;PVC;;;;21,00;23;2
266160;Coude 90° a emboiter dim 50;;Eupen;PVC;;12,00;pces;21,00;23;2
266170;Coude 90°  a emboiter dim 75;;Eupen;PVC;;;;21,00;23;2
266180;Coude 90° a emboiter dim 90;;Eupen;PVC;;;;21,00;23;2
266190;Coude 90° a emboiter dim 110;;Eupen;PVC;;;;21,00;23;2
266200;Coude 90° a emboiter dim 125;;Eupen;PVC;;;;21,00;23;2
266290;Coude 45° a emboiter dim 32;;Eupen;PVC;;6,00;pces;21,00;23;2
266300;Coude 45° a emboiter dim 40;;Eupen;PVC;;;;21,00;23;2
266310;Coude 45° a emboiter dim 50;;Eupen;PVC;;17,00;pces;21,00;23;2
266320;Coude 45° a emboiter dim 75;;Eupen;PVC;;;;21,00;23;2
266330;Coude 45° a emboiter dim 90;;Eupen;PVC;;;;21,00;23;2
266350;Coude 45° a emboiter dim 110;;Eupen;PVC;;;;21,00;23;2
266360;Coude 45° a emboiter dim 125;;Eupen;PVC;;;;21,00;23;2
266530;Té a emboiter dim 32;;Eupen;PVC;;5,00;pces;21,00;23;2
266540;Té a emboiter dim40;;Eupen;PVC;;11,00;pces;21,00;23;2
266550;Té a emboiter dim 50;;Eupen;PVC;;10,00;pces;21,00;23;2
266560;Té a emboiter dim 75;;Eupen;PVC;;;;21,00;23;2
266570;Té a emboiter dim 90;;Eupen;PVC;;;;21,00;23;2
266590;Té a emboiter dim 110;;Eupen;PVC;;;;21,00;23;2
266600;Té a emboiter dim 125;;Eupen;PVC;;;;21,00;23;2
266370;Té Y a emboiter dim 32;;Eupen;PVC;;;;21,00;23;2
266380;Té Y a emboiter dim 40;;Eupen;PVC;;3,00;pces;21,00;23;2
266390;Té Y a emboiter dim 50;;Eupen;PVC;;26,00;pces;21,00;23;2
266400;Té Y a emboiter dim 75;;Eupen;PVC;;;;21,00;23;2
266410;Té Y a emboiter dim 90;;Eupen;PVC;;;;21,00;23;2
266430;Té Y a emboiter dim 110;;Eupen;PVC;;;;21,00;23;2
311485;Réduction exentrique M/F 40/32;;Eupen;PVC;;5,00;pces;21,00;23;2
311487;Réduction exentrique M/F 50/40;;Eupen;PVC;;5,00;pces;21,00;23;2
311486;Réduction exentrique M/F 50/32;;Eupen;PVC;;5,00;pces;21,00;23;2
248490;;Réduction exterieure exentrée M/F 100/90;Nicoll;PVC;;1,00;pces;21,00;23;2
248480;;Réduction exterieure exentrée M/F110/100;Nicoll;PVC;;1,00;pces;21,00;23;2
248500;;Réduction exterieure exentrée M/F 125/110;Nicoll;PVC;;1,00;pces;21,00;23;2
268280;Anneau de reduction  H T 32/50;;Eupen;PVC;;1,00;pces;21,00;23;2
268290;Anneau de reduction   40/50;;Eupen;PVC;;2,00;pces;21,00;23;2
265450;A nneau de reduction HT 40/32;;Eupen;PVC;;1,00;pces;21,00;23;2
265460;Anneau de reduction ;50/40;Nicoll;PVC;;3,00;pces;21,00;23;2
268260;Anneau de reduction  a coller;;Nicoll;PVC;;6,00;pces;21,00;23;2
750440;Manchon de reduction centrique F/F 40/32;;Nicoll;PVC;;33,00;pces;21,00;23;2
8700040;Manchon F/F dim 40;;Nicoll;PVC;;11,00;pces;21,00;23;2
244110;Aerateur a membrane fixe dim 50;;Nicoll;PVC;;7,00;pces;21,00;23;2
708640;Aerateur a membrane démontable 80/75;;Nicoll;PVC;;3,00;pces;21,00;23;2
869530;Selle M/F 100/40;;Nicoll;PVC;;2,00;pces;21,00;23;2
134300;Selle M/F 110/40;;Nicoll;PVC;;2,00;pces;21,00;23;2
266700;Manchon de dilatation dim 50;;Eupen;PVC;;3,00;pces;21,00;23;2
870730;Manchon de dilatation dim 50;;Nicoll;PVC;;5,00;pces;21,00;23;2
182910;Crépine chromé avec bouchon;;Viega;;;56,00;pces;21,00;23;2
910019;Manchon F/F 2 x a sertir ; 15/15;Comap;Acier;;23,00;pces;21,00;24;2
910020;Manchon F/F 2 x a sertir ;18/18;Comap;Acier;;7,00;pces;21,00;24;2
910021;Manchon F/F 2 x a sertir ; 22/22;Comap;Acier;;13,00;pces;21,00;24;2
910157;Manchon coulissant F/F 2 x a sertir 15/15;;Comap;Acier;;7,00;pces;21,00;24;2
910158;Manchon coulissant F/F 2 x a sertir 15/15;2 x a sertir 18/18;Comap;Acier;;3,00;pces;21,00;24;2
910040;Coude 90 F/F  2 x a sertir 15/15;;Comap;Acier;;37,00;pces;21,00;24;2
910041;Coude 90 F/F 2 x a sertir 18/18;;Comap;Acier;;41,00;pces;21,00;24;2
910042;Coude 90 F/F 2 x a sertir 22/22;;Comap;Acier;;16,00;pces;21,00;24;2
910011;Coude 90 M/F  a sertir x a emboiter  15/15;;Comap;Acier;;38,00;pces;21,00;24;2
910013;Coude 90 M/F a sertier a emboiter 22/22;;Comap;Acier;;8,00;pces;21,00;24;2
;Coude 90 M/F a sertier a emboiter 28/28;;Comap;Acier;;8,00;pces;21,00;24;2
910047;Coude 45 F/F a sertier a emboiter 15/15;;Comap;Acier;;3,00;pces;21,00;24;2
910005;Coude 45 M/F a sertier a emboiter 22/22;;Comap;Acier;;3,00;pces;21,00;24;2
910049;Coude 45 F/F a sertier a emboiter 22/22;;Comap;Acier;;1,00;pces;21,00;24;2
910006;Coude 45 M/F a sertier a emboiter 28/28;;Comap;Acier;;7,00;pces;21,00;24;2
910098;Coude 90 M a sertier /filet male conique 1/2 15;;Comap;Acier;;17,00;pces;21,00;24;2
910097;Coude 90 M a sertier /filet male conique 3/8 15;3/8 15;Comap;Acier;;3,00;pces;21,00;24;2
910118;Té egal FFF a sertier 18/18/18;;Comap;Acier;;5,00;pces;21,00;24;2
910127;Té egal FFF a sertier 18/15/18;;Comap;Acier;;7,00;pces;21,00;24;2
910117;Té egal FFF a sertier 15/15/15;;Comap;Acier;;6,00;pces;21,00;24;2
900134;Té egal FFF a sertier 22/15/22;;Comap;Acier;;1,00;pces;21,00;24;2
488760;Raccord T niron dim 25;;Niron;Synté;;4;pces;21,00;25;2
488900;Raccord T niron reduit dim 25 x 20;;Niron;Synté;;3;pces;21,00;25;2
488750;Raccord T niron dim 20;;Niron;Synté;;2;pces;21,00;25;2
488820;"Raccord T niron dim 20 -1/2"" F";;Niron;Synté;;6;pces;21,00;25;2
488690;Coude niron 45° FF dim 25;;Niron;Synté;;17;pces;21,00;25;2
488480;Coude niron 90° FF dim 25;;Niron;Synté;;42;pces;21,00;25;2
488700;Coude niron 45° FF dim 32;;Niron;Synté;;13;pces;21,00;25;2
488540;"Coude niron 90°  dim 20 -1/2"" F";;Niron;Synté;;6;pces;21,00;25;2
488550;"Coude niron 90°  dim 25 - 1/2"" F";;Niron;Synté;;7;pces;21,00;25;2
488600;"Coude niron 90°  dim 25 - 1/2"" M";;Niron;Synté;;1;pces;21,00;25;2
488640;"Culasse niron dim 20 - 1/2""F";;Niron;Synté;;1;pces;21,00;25;2
488490;Coude niron 90° dim32 FF;;Niron;Synté;;11;pces;21,00;25;2
488470;Coude niron 90° dim20 FF;;Niron;Synté;;14;pces;21,00;25;2
488680;Coude niron 45° dim 20 FF;;Niron;Synté;;50;pces;21,00;25;2
433140;Dos d ane FF dim 20;;Niron;Synté;;5;pces;21,00;25;2
509740;Coude niron 45° MF dim 20;;Niron;Synté;;2;pces;21,00;25;2
489420;"Raccord niron a fillet dim 25 - 3/4"" M";;Niron;Synté;;1;pces;21,00;25;2
489430;"Raccord niron a fillet dim 32 - 4/4""  M";;Niron;Synté;;3;pces;21,00;25;2
489340;"Raccord niron  a fillet dim 32 - 4/4"" F";;Niron;Synté;;12;pces;21,00;25;2
489330;"Raccord niron a fillet dim 25 - 3/4"" F";;Niron;Synté;;3;pces;21,00;25;2
489320;"Raccord niron a fillet dim 25 - 1/2"" F";;Niron;Synté;;2;pces;21,00;25;2
489560;Raccord union 3 pieces  dim20;;Niron;Synté;;2;pces;21,00;25;2
489250;Manchon dim 32;;Niron;Synté;;2;pces;21,00;25;2
489240;Manchon dim 25;;Niron;Synté;;7;pces;21,00;25;2
489230;Manchon dim 20;;Niron;Synté;;2;pces;21,00;25;2
489490;Bonnet  dim 20;;Niron;Synté;;1;pces;21,00;25;2
489500;Bonnet dim 25;;Niron;Synté;;1;pces;21,00;25;2
538972;THERMOMASTER T25/30;;;;588,00;;pces;21,00;14;2
400719;PLAQUE DE MONTAGE THEMACONDENS/THERMOMASTER T;;;;59,45;;pces;21,00;14;2
259269;VENTOUSE 70CM + COUDE D.60/100;;;;43,38;;pces;21,00;14;2
427390;EXACONTROL 70CM THERMOSTAT MODULANT;;;;56,31;;pces;21,00;14;2
292858;SONDE EXTER.15M P/THEMA- COND.+ISOTWIN+THERMOMAST;;;;32,32;;pces;21,00;14;2
311077;SUNRAD H400XL1350X22 1841w;;;;74,58;;pces;21,00;14;2
439197;COMBIN. BITURE RK532LTLE SENSO AVEC COUDE 1/2 DROIT;;;;25,03;;pces;21,00;14;2
557530;TUBE LIAISON 9848 DIAM.15 L.80mm NICKELEE+ECROU;;;;4,78;;pces;21,00;14;2
334070;BOITIER SEUL 9840 1/2xM22;;;;2,93;;pces;21,00;14;2
523090;SUDOPR.RACC,DROIT 16x2-3/4 EUROCONUS ECROU PRISONN;;;;2,45;;pces;21,00;14;2
241892;TUBE MULTISKIN ROUL.100M 16x2 AVEC ISOLATION 6MM BLEU;;;;129,36;;pces;21,00;14;2
241893;TUBE MULTISKIN ROUL.100M 16x2 A/ISOLAT   6MM -ROUGE;;;;129,36;;pces;21,00;14;2
339150;COLLECTEUR 4/4x1/2 9800/6;;;;14,96;;pces;21,00;14;2
339250;TERMINAISON COLLECT.9827 4/4;;;;2,38;;pces;21,00;14;2
384070;ROBINET PURGE RADIAT.1/2 - LAITON;;;;2,11;;pces;21,00;14;2
145181;FLEXVENT 1/2;;;;6,46;;pces;21,00;14;2
280690;REGULAT.PRESS.DIFFER.3/4 872;;;;20,58;;pces;21,00;14;2
247446;"SET DE REMPLISSAGE 1/2"" NBN EN 1717 A/CLAPET CA";;;;25,42;;pces;21,00;14;2
442020;VANNE EQUILIBRAGE 4/4 751 2 PRISES;;;;37,61;;pces;21,00;14;2
118020;NIPPLE 9810JT 1/2-M22 AVEC JOINT 0-RING;;;;0,90;;pces;21,00;14;2
123930;ROBINET A BILLE 4/4 UNIVERSAL;;;;9,53;;pces;21,00;14;2
339240;RACCORD JONCTION 9829 P/COLLECTEUR 4/4;;;;1,80;;pces;21,00;14;2
299732;WICU GAZ LONGUEUR DE 5M CUIVRE 20/22 A/PVC JAUNE;;;;24,26;;pces;21,00;14;2
495050;COURSE 5002A 22 FF 90 5002A;;;;0,67;;pces;21,00;14;2
197945;COUDE 90D.2616 FF 90 DEGRES GAZ D.22 - CUIVRE;;;;2,67;;pces;21,00;14;2
244548;"RACCORD MALE MOD.2611 GAZ 22x1"" - BRONZE";;;;4,17;;pces;21,00;14;2
579420;EVIER EUROSET ESX621 ENC. 123,5x43,5CM SANS SOUPAPE;;;;80,85;;pces;21,00;15;2
380390;GARNIT.ECOULEMENT 6/4x40 RACCORD ECO POUR EVIER 2BACS;;;;6,73;;pces;21,00;15;2
378520;ROBINET ARR.EQUERRE A80A A/BOULE 1/2x3/8x10 CHROME;;;;2,76;;pces;21,00;15;2
505275;LAGUNA MELANGEUR EVIER AVEC BEC MOB.A/DISQ.CERAM CHROME;;;;23,20;;pces;21,00;15;2
280080;ROBINET A BILLE 1/2 DOUBL SERVICE MANETTE ROUGE;;;;5,09;;pces;21,00;15;2
313470;SIPHON ABS GRIS SORT.S-P DIAM.40MM;;;;1,94;;pces;21,00;15;2
212945;TUBE EUPEN HAUT TEMP 40MM PAR LONGUEUR DE 4M;;;;7,95;;pces;21,00;15;2
401860;SOUDAFOAM 1K 750ML;;;;5,07;;pces;21,00;15;2
338210;MASTIGUM SANITAIRKIT - BOITE 450GR;;;;2,87;;pces;21,00;15;2
130580;FISHER CHEVILLE S10 - PAR 50 PCES;;;;4,27;;pces;21,00;15;2
316300;DOCK FILETE HO 8050 SOIS;;;;0,08;;pces;21,00;15;2
285980;PATTE VIS A BOIS 60MM M7;;;;0,06;;pces;21,00;15;2
238530;ROBINET A BILLE 3/8 UNIVERSAL;;;;3,19;;pces;21,00;15;2
123860;ROBINET A BILLE 1/2 UNIVERSAL;;;;4,47;;pces;21,00;15;2
123910;ROBINET A BILLE 3/4 UNIVERSAL;;;;6,43;;pces;21,00;15;2
123930;ROBINET A BILLE 4/4 UNIVERSAL;;;;9,53;;pces;21,00;15;2
123970;ROBINET A BILLE 5/4 UNIVERSAL;;;;13,53;;pces;21,00;15;2
124040;ROBINET A BILLE 6/4 UNIVERSAL;;;;20,71;;pces;21,00;15;2
280080;ROBINET A BILLE 1/2 DOUBL SERVICE MANETTE ROUGE;;;;5,09;;pces;21,00;15;2
242837;ROBINET A BILLE POUR GAZ 1/2 MF ARGB;;;;6,26;;pces;21,00;15;2
875500;ROBINET A BILLE POUR GAZ 3/4 FF ARGB;;;;8,21;;pces;21,00;15;2
259859;HSH FLEXIBLE 50CM GAS INOX 1/2MF EN14800;;;;11,00;;pces;21,00;15;2
611590;BIDON DE 5 LITRES HUILE DE COUPE;;;;27,12;;pces;21,00;15;2
628960;ROTEST AEROSOL 400ML DETECTEUR DE FUITES;;;;4,77;;pces;21,00;15;2
374090;PRESCOR 108-1/2 F;;;;5,21;;pces;21,00;15;2
403110;"PURGEUR AUTOMATIQUE 3/8"" AVEC SOUPAPE";;;;5,19;;pces;21,00;15;2
439098;CORPS EQUERRE 1/2 R808;;;;8,91;;pces;21,00;15;2
505434;SENSO TETE THERMOSTATIQUE M28;;;;9,74;;pces;21,00;15;2
505435;SENSO RI TETE THERMOSTAT. POUR INTEGRA M30;;;;9,81;;pces;21,00;15;2
873710;TETE THERMOSTATIQUE RAE SONDE INCORPORE;;;;8,63;;pces;21,00;15;2
229632;"LONGUEUR DE 6M TUBE ACIER PE 4/4"" ISO MED";;;;41,45;;pces;21,00;15;2
229631;"LONGUEUR DE 6M TUBE ACIER PE 3/4"" ISO MED";;;;32,91;;pces;21,00;15;2
229630;"LONGUEUR DE 6M TUBE ACIER PE 1/2"" 000 MED";;;;30,04;;pces;21,00;15;2
147830;130 TE 4/4 NOIR;;;;1,81;;pces;21,00;15;2
147820;130 TE 3/4 NOIR;;;;1,24;;pces;21,00;15;2
147810;130 TE 1/2 NOIR;;;;0,73;;pces;21,00;15;2
146960;90 COUDE FF 4/4 NOIR;;;;1,24;;pces;21,00;15;2
146950;90 COUDE FF 3/4 NOIR;;;;0,81;;pces;21,00;15;2
146940;90 COUDE FF 1/2 NOIR;;;;0,51;;pces;21,00;15;2
150080;280 MAMELON 4/4 NOIR;;;;1,00;;pces;21,00;15;2
150070;280 MAMELON 3/4 NOIR;;;;0,72;;pces;21,00;15;2
150060;280 MAMELON 1/2 NOIR;;;;0,54;;pces;21,00;15;2
282453;COLLIER WM BISMAT FLASH M8 32-35MM;;;;0,89;;pces;21,00;15;2
282452;COLLIER WM BISMAT FLASH M8 25-28MM;;;;0,80;;pces;21,00;15;2
282451;COLLIER WM BISMAT FLASH M8 20-23MM;;;;0,82;;pces;21,00;15;2
242839;ROBINET A BILLE POUR GAZ 4/4 MF ARGB;;;;12,34;;pces;21,00;15;2
242838;ROBINET A BILLE POUR GAZ 3/4 MF ARGB;;;;8,46;;pces;21,00;15;2
